,Entity,Code,Year,Imported Deforestation,Net Traded Deforestation,Population,per Capita Imported Deforestation,per Capita Net Traded Deforestation
221,Bulgaria,BGR,2010,1455.3684041551248,1455.3684041551248,7425011.0,0.00019600892229723632,0.00019600892229723632
222,Bulgaria,BGR,2011,1476.3830061993588,1476.3830061993588,7378652.0,0.0002000884451793307,0.0002000884451793307
223,Bulgaria,BGR,2012,1481.1377273225226,1481.1377273225226,7334007.0,0.00020195477415313655,0.00020195477415313655
224,Bulgaria,BGR,2013,1423.7521503901348,1423.7521503901348,7290092.0,0.00019529961355633574,0.00019529961355633574
225,Burkina Faso,BFA,2005,149.52099836106134,147.45587359047363,13421935.0,1.114004786650072e-05,1.098618594043807e-05
226,Burkina Faso,BFA,2006,188.66265768793983,188.12844028746207,13829173.0,1.3642367312054005e-05,1.3603737568939377e-05
227,Burkina Faso,BFA,2007,171.72230133122483,171.0079163725848,14252029.0,1.2048972208183467e-05,1.199884706750069e-05
228,Burkina Faso,BFA,2008,130.84336364994513,130.47285022942023,14689725.0,8.907134997417932e-06,8.881912372724488e-06
229,Burkina Faso,BFA,2009,610.2074610244927,609.3021917910625,15141098.0,4.030140093040099e-05,4.024161205422899e-05
230,Burkina Faso,BFA,2010,522.8580369972788,521.0733667085123,15605211.0,3.350534875800646e-05,3.339098501830653e-05
231,Burkina Faso,BFA,2011,587.5443246120251,581.1435755907581,16081915.0,3.653447519229054e-05,3.6136466060836545e-05
232,Burkina Faso,BFA,2012,466.0123636572888,460.7926218548953,16571252.0,2.812173537987889e-05,2.780674760451988e-05
233,Burkina Faso,BFA,2013,614.6232232849583,609.3316007631956,17072791.0,3.60001609159837e-05,3.569021613180854e-05
234,Burundi,BDI,2005,79.49272873600057,45.11959099667445,7364857.0,1.0793519648243077e-05,6.1263363289571605e-06
235,Burundi,BDI,2006,146.6016467034018,137.67580050802644,7607850.0,1.926978669445399e-05,1.8096545082779817e-05
236,Burundi,BDI,2007,162.45375002290984,162.19256166457967,7862226.0,2.066256426906449e-05,2.062934360632468e-05
237,Burundi,BDI,2008,117.44307263441648,95.96091136015411,8126104.0,1.4452568246039736e-05,1.180896913947374e-05
