,Entity,Code,Year,Net_traded_Deforestation
433,Dominican Republic,DOM,2006,852.6959761740054
434,Dominican Republic,DOM,2007,742.5790618060437
435,Dominican Republic,DOM,2008,694.0168696619676
436,Dominican Republic,DOM,2009,504.787172907425
437,Dominican Republic,DOM,2010,1343.5560874112944
438,Dominican Republic,DOM,2011,1279.1457881279075
439,Dominican Republic,DOM,2012,3256.848694378013
440,Dominican Republic,DOM,2013,1973.1271202705063
441,Ecuador,ECU,2005,2244.0419371890566
442,Ecuador,ECU,2006,2774.657866000889
443,Ecuador,ECU,2007,-1350.59358306817
444,Ecuador,ECU,2008,-3808.787069461352
445,Ecuador,ECU,2009,-2888.694932805687
446,Ecuador,ECU,2010,-2057.576960262129
447,Ecuador,ECU,2011,-3836.022945533692
448,Ecuador,ECU,2012,-1247.8393703510865
449,Ecuador,ECU,2013,1392.057077531419
450,Egypt,EGY,2005,33335.08619078936
451,Egypt,EGY,2006,43019.4859379726
452,Egypt,EGY,2007,32990.7649992355
453,Egypt,EGY,2008,24412.131508575723
454,Egypt,EGY,2009,12105.37014990676
455,Egypt,EGY,2010,37419.87856421033
456,Egypt,EGY,2011,28900.207288248283
457,Egypt,EGY,2012,42109.50822103115
458,Egypt,EGY,2013,41018.8744264195
459,El Salvador,SLV,2005,4134.13990785292
460,El Salvador,SLV,2006,4171.215131105448
461,El Salvador,SLV,2007,4651.083902468155
462,El Salvador,SLV,2008,5230.7139621023
463,El Salvador,SLV,2009,5675.754509684828
464,El Salvador,SLV,2010,4882.621330708227
465,El Salvador,SLV,2011,4223.497514890147
466,El Salvador,SLV,2012,3436.425769498533
467,El Salvador,SLV,2013,2557.565190422029
468,Equatorial Guinea,GNQ,2005,282.2279090514494
469,Equatorial Guinea,GNQ,2006,161.80836800291968
470,Equatorial Guinea,GNQ,2007,284.6623736248669
471,Equatorial Guinea,GNQ,2008,282.46515732126176
472,Equatorial Guinea,GNQ,2009,194.47879173924247
473,Equatorial Guinea,GNQ,2010,128.21684526535486
474,Equatorial Guinea,GNQ,2011,194.2103533298927
475,Equatorial Guinea,GNQ,2012,188.7676029895331
476,Equatorial Guinea,GNQ,2013,200.0326345717956
477,Eritrea,ERI,2005,81.81289685843423
478,Eritrea,ERI,2006,36.22651734925624
479,Eritrea,ERI,2007,33.77784388416208
480,Eritrea,ERI,2008,27.22043494132661
481,Eritrea,ERI,2009,66.72235210379625
482,Eritrea,ERI,2010,37.959392893613725
483,Eritrea,ERI,2011,111.79704682050608
484,Eritrea,ERI,2012,79.72067725853852
485,Eritrea,ERI,2013,90.4339144791915
486,Estonia,EST,2005,236.64545802442169
487,Estonia,EST,2006,267.00562862221864
488,Estonia,EST,2007,352.1651294957718
489,Estonia,EST,2008,214.2830200657613
490,Estonia,EST,2009,212.29284225262293
491,Estonia,EST,2010,186.8700633472539
492,Estonia,EST,2011,233.65890242819145
493,Estonia,EST,2012,292.23187960460706
494,Estonia,EST,2013,356.7086262012318
495,Ethiopia,ETH,2005,-3400.415149442564
496,Ethiopia,ETH,2006,-3608.547627614445
497,Ethiopia,ETH,2007,-2583.36638182736
498,Ethiopia,ETH,2008,-1964.7678923169517
499,Ethiopia,ETH,2009,-2620.901003876781
500,Ethiopia,ETH,2010,-1019.1647162514528
501,Ethiopia,ETH,2011,298.36944276793656
502,Ethiopia,ETH,2012,2208.2785458170474
503,Ethiopia,ETH,2013,1612.0239155924571
504,Fiji,FJI,2005,-437.292070136393
505,Fiji,FJI,2006,-341.509542197756
506,Fiji,FJI,2007,-183.28308623672547
507,Fiji,FJI,2008,-14.670361539381249
508,Fiji,FJI,2009,21.11349542062294
509,Fiji,FJI,2010,-2.930333082528364
510,Fiji,FJI,2011,103.86275931027636
511,Fiji,FJI,2012,95.19147415150668
512,Fiji,FJI,2013,-324.01217051363415
513,Finland,FIN,2005,2329.350317770145
514,Finland,FIN,2006,1986.3737045773416
515,Finland,FIN,2007,2639.791640747863
516,Finland,FIN,2008,2103.82937696088
517,Finland,FIN,2009,1864.770879133472
518,Finland,FIN,2010,2008.8793961290469
519,Finland,FIN,2011,1706.7450247267586
520,Finland,FIN,2012,2448.482457802878
521,Finland,FIN,2013,1388.855756683662
522,France,FRA,2005,39049.00127015411
523,France,FRA,2006,36215.11105849618
524,France,FRA,2007,32482.639386598992
